tweet_id,created_at,text,user_id,screen_name,verified,followers_count,retweet_count,like_count,hashtags,mentions,urls,language
1889092348875096358,Mon Feb 10 23:21:28 +0000 2025,@Nike This is spot on.  You were silent when men invaded women’s sports.  You were complicit in undermining women athletes.  You should sit this one out…too little too late.,130248742,Jennykins63,FALSE,448,0,0,[],['@Nike'],[],en
1889089921589342311,Mon Feb 10 23:11:49 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh I bet these evil, but invisible, people yelling at chics in sports are the same ones who steal socks from my dryer. Thank you Nike for spotlighting this critical issue! 

I need my socks back.",16349164,michaelrentiers,FALSE,1683,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889089737522331875,Mon Feb 10 23:11:05 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh Fake
Stand up for girls sports
Or be quiet
We the customers see thru you",1519279026979819520,cyannbartlett,FALSE,579,0,1,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889089329038840032,Mon Feb 10 23:09:28 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh You can’t win, so win?? The ever loving fuck does that mean?",1810780062733713408,BettyD547689,FALSE,86,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889088620830609899,Mon Feb 10 23:06:39 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh Horrible message, horrible commercial. Nike just sucks.",1810780062733713408,BettyD547689,FALSE,86,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889088052934357113,Mon Feb 10 23:04:24 +0000 2025,@Nike Angle Reese. 2024 air ball champion wnba https://t.co/6WWNmV2JZ2,193256495,3k1d,FALSE,101,0,0,[],['@Nike'],['https://t.co/6WWNmV2JZ2'],en
1889087483603763454,Mon Feb 10 23:02:08 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh Bio Men are men. Period. And, if we need to reinforce Title 9 to keep these nuts away from women in sports, we will.

Nike, you keep about 3% of fans who get off on this crap.
You lose about 70%.",1354214961023651840,Somespeakup,FALSE,193,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889086882606371177,Mon Feb 10 22:59:45 +0000 2025,@Nike women do not agree to give up our safety/spots/awards/places/spaces to confused men.  Full stop.,954717760319250432,lissamac15,FALSE,73,0,0,[],['@Nike'],[],en
1889085516995502222,Mon Feb 10 22:54:19 +0000 2025,@Nike ever heard of @HuskerVB,1797768374098747392,Gerdbertt,FALSE,46,0,0,[],"['@Nike', '@HuskerVB']",[],en
1889084724058243315,Mon Feb 10 22:51:10 +0000 2025,@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh Nike supports men playing in women’s sports. Sit down.,1531367871275745282,RedWaveLLC,FALSE,2141,0,4,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889082918808736051,Mon Feb 10 22:43:59 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh Stop with the oppression and victimhod Woke narratives, losers.  Just make it about talented women (adult human females), FFS!",1480976099039272961,SpaceWoot,FALSE,613,0,3,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889082781331759274,Mon Feb 10 22:43:27 +0000 2025,"@Nike @its_whitney 🖕 you. Men pretending to be women do not belong in REAL WOMEN’S SPORTS! oh, and…. There are only TWO genders.",1519558881537581057,patti_lake,FALSE,3837,0,2,[],"['@Nike', '@its_whitney']",[],en
1889082137690726649,Mon Feb 10 22:40:53 +0000 2025,@Nike what the hell is wrong with you? How do you make a commercial and not mention Clark? I will never buy anything from you ever again unless it’s a Clark item ever.  So over the white hate!,1340771592998150152,tpenley1971,FALSE,281,0,3,[],['@Nike'],[],en
1889080813855314069,Mon Feb 10 22:35:38 +0000 2025,"@Nike @nikebasketball  seriously, does your owner, children of the owner, relative of the owner low key hate CC or what? What kind of fuckery you guys not mentioning CC?",1791925532910612480,Leah_Rising,FALSE,12,0,6,[],"['@Nike', '@nikebasketball']",[],en
1889079703136342158,Mon Feb 10 22:31:13 +0000 2025,@adidas @newbalance Headed to Costa Rica for Goodwill Trip. Team jogging suits needed.,51815545,NYFinestBeisbol,FALSE,2275,0,0,[],"['@adidas', '@newbalance']",[],en
1889076687016472901,Mon Feb 10 22:19:14 +0000 2025,@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh Could watch Caitlin Clark all day!,1678604714835886081,Youraccess2me,FALSE,6,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889076333268898122,Mon Feb 10 22:17:49 +0000 2025,@Nike nails it again. These shoes are sexy af. Great mix of the classic late 80s Jordan's with modern styling. Might try red laces but 10/10 anyways. https://t.co/WjGdgCCRhv,1753802746669473792,JesseJamesAinj,FALSE,623,0,0,[],['@Nike'],['https://t.co/WjGdgCCRhv'],en
1889075829511958943,Mon Feb 10 22:15:49 +0000 2025,@Nike #boycottnike go woke go broke,794566447179517953,DiamondHranxh,FALSE,8,0,0,['#boycottnike'],['@Nike'],[],en
1889074517676564550,Mon Feb 10 22:10:36 +0000 2025,@Nike @nikebasketball I need a date for the new @_ajawilson22 T-shirt..I must have refreshed this Nike app a million times today.hoping not to miss the drop,1152556387,alysianelson,FALSE,72,0,1,[],"['@Nike', '@nikebasketball', '@_ajawilson22']",[],en
1889074449066176729,Mon Feb 10 22:10:20 +0000 2025,@Nike Is Nike talking about all the joos money ? I don’t get it?,1854209419829231616,huwhitedevil,FALSE,114,0,1,[],['@Nike'],[],en
1889073930188845148,Mon Feb 10 22:08:16 +0000 2025,@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh One of the worst commercials of the night.,1585808997805957122,chad_loudin,FALSE,6,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889073675615293751,Mon Feb 10 22:07:16 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh I cam , i just did it",1460896744942850049,_FUJOTUPU_,FALSE,321,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889073425341411814,Mon Feb 10 22:06:16 +0000 2025,@Nike lol your stupid commercial  -you can’t win so win 🤣- you are too late BRO!!! You really don’t understand women 🤣😂😂😂🤣😂😂😂🤣😂,1844510789014781956,DragonitaXX,FALSE,27,0,0,[],['@Nike'],[],en
1889072855545229314,Mon Feb 10 22:04:00 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh NEVER going to trust you again Nike. First, Alberto Salazar was a doper. Second, you're fine with men in women's sports. Third, you constrain or cancel contracts when athletes get pregnant. Maybe you'd change that if it was a ""man"" who was pregnant.",16338442,BethBridges,FALSE,20849,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889072282565493127,Mon Feb 10 22:01:44 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh Do you support trans women competing with biological women, @Nike?",948576577821929477,AnonBecauseOf,FALSE,5603,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh', '@Nike']",[],en
1889072095717437759,Mon Feb 10 22:00:59 +0000 2025,@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh You think being told you can’t do it is a woman only issue?,1083314689499643904,HomerHaze,FALSE,454,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889071144763892086,Mon Feb 10 21:57:12 +0000 2025,@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh @Nike is this you? https://t.co/N8ryBHdfcz,3016997880,keri7685,FALSE,15,0,0,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh', '@Nike']",['https://t.co/N8ryBHdfcz'],en
1889070157169054107,Mon Feb 10 21:53:17 +0000 2025,"@Nike @officialdoechii @CaitlinClark22 @Jujubballin @sabrina_i20 @alexiaputellas @MalPugh Not the company who supports men competing in women’s sports, trying to appease to women telling them they’re oppressed 😂😂",798434704940642304,Kristiaaannb,FALSE,567,0,1,[],"['@Nike', '@officialdoechii', '@CaitlinClark22', '@Jujubballin', '@sabrina_i20', '@alexiaputellas', '@MalPugh']",[],en
1889068821404614849,Mon Feb 10 21:47:58 +0000 2025,"@Nike just drop CC if you don't fw her. If you won't mention her name, why put her in the graphics. Adidas will never move like this.",4858059646,LawSzn,FALSE,2094,2,115,[],['@Nike'],[],en
